用例ID,用例标题,模块,优先级,前置条件,操作步骤,预期结果
TC017,事件格-正向事件生效,格子系统,P1,用户在活动界面，到达事件格,1. 跳过新手流程 2. 触发正向事件,正向效果正确生效（如获得额外行动点）
TC018,事件格-负向事件生效,格子系统,P1,用户在活动界面，到达事件格,1. 跳过新手流程 2. 触发负向事件,负向效果正确生效（如失去行动点）
TC019,奖励格-到达,格子系统,P0,用户在活动界面，行动点充足,1. 跳过新手流程 2. 投掷骰子到达奖励格,弹出奖励弹窗，奖励正确发放
TC020,奖励格-奖励到账,格子系统,P0,用户在活动界面，到达奖励格,1. 跳过新手流程 2. 领取奖励后查看背包,奖励正确发放到背包
TC021,阶段奖励格-到达,格子系统,P0,用户在活动界面，行动点充足,1. 跳过新手流程 2. 投掷骰子到达阶段奖励格,弹出阶段奖励弹窗，丰厚奖励正确发放
TC022,阶段奖励格-进度更新,格子系统,P1,用户在活动界面，到达阶段奖励格,1. 跳过新手流程 2. 领取阶段奖励,阶段进度正确更新
TC023,终点格-到达,格子系统,P0,用户在活动界面，行动点充足,1. 跳过新手流程 2. 投掷骰子到达终点格,播放庆祝动画，最终大奖发放
TC024,终点格-活动完成,格子系统,P1,用户已到达终点,1. 跳过新手流程 2. 领取最终大奖,活动状态更新为已完成
TC025,LIVE BONES-正常显示,LIVE BONES,P0,用户已进入活动界面,1. 跳过新手流程 2. 进入活动界面,LIVE BONES 数量正确显示
TC026,LIVE BONES-消耗,LIVE BONES,P0,用户在活动界面，LIVE BONES 充足,1. 跳过新手流程 2. 投掷骰子,LIVE BONES 数量正确减少
TC027,LIVE BONES-恢复,LIVE BONES,P0,用户在活动界面，LIVE BONES 未达上限,1. 跳过新手流程 2. 等待一段时间,LIVE BONES 按时间自动恢复
TC028,LIVE BONES-达到上限停止恢复,LIVE BONES,P1,用户在活动界面，LIVE BONES 已达上限,1. 跳过新手流程 2. 等待一段时间,LIVE BONES 不再增加，保持上限
TC029,LIVE BONES-购买,LIVE BONES,P1,用户在活动界面，货币充足,1. 跳过新手流程 2. 点击购买 LIVE BONES,购买成功，LIVE BONES 数量增加
TC030,LIVE BONES-购买失败不扣款,LIVE BONES,P1,用户在活动界面，购买 LIVE BONES,1. 跳过新手流程 2. 触发购买失败,货币不扣除，LIVE BONES 不增加
TC031,累计奖励-步数累加,累计奖励,P0,用户在活动界面,1. 跳过新手流程 2. 多次投掷骰子,累计步数正确累加
TC032,累计奖励-达到里程碑,累计奖励,P0,用户累计步数即将达到里程碑,1. 跳过新手流程 2. 继续移动达到里程碑,里程碑奖励变为可领取状态
TC033,累计奖励-领取奖励,累计奖励,P0,用户累计步数达到里程碑,1. 跳过新手流程 2. 点击领取奖励按钮,奖励正确发放，领取状态更新
TC034,累计奖励-重复领取,累计奖励,P1,用户已领取某里程碑奖励,1. 跳过新手流程 2. 再次点击领取按钮,提示已领取，无法重复领取
TC035,队伍选择-正常选择,队伍选择,P0,用户首次进入活动,1. 跳过新手流程 2. 进入队伍选择界面 3. 选择一支队伍,队伍选择成功，赠送对应称号
TC036,队伍选择-称号赠送,队伍选择,P0,用户首次选择队伍,1. 跳过新手流程 2. 选择队伍后查看称号,所选队伍的称号已到账
TC037,队伍选择-自选成员称号,队伍选择,P1,用户已选择队伍,1. 跳过新手流程 2. 选择队伍成员称号,可自选成员，称号正确发放
TC038,队伍选择-3D形象展示,队伍选择,P1,用户在队伍选择界面,1. 跳过新手流程 2. 查看队伍选择界面,角色立绘正确显示我的世界3D形象
TC039,流程引导-初始引导,流程引导,P0,用户首次进入活动，已选择队伍,1. 跳过新手流程 2. 选择队伍后进入活动,Miku对话框弹出，显示初始引导
TC040,流程引导-前进按钮高亮,流程引导,P0,用户在引导流程中,1. 跳过新手流程 2. 完成初始引导,右下角前进按钮高亮，显示引导文本
TC041,流程引导-赠送行动点,流程引导,P1,用户在引导流程中,1. 跳过新手流程 2. 完成前进引导,赠送1行动点，数量正确增加
TC042,流程引导-奖励格引导,流程引导,P1,用户首次到达奖励格,1. 跳过新手流程 2. 到达奖励格完成结算,Miku对话框弹出，提示奖励格玩法
TC043,流程引导-体力累计框高亮,流程引导,P1,用户在引导流程中,1. 跳过新手流程 2. 完成奖励格引导,右上角体力累计框高亮，显示引导文本
TC044,流程引导-阶段奖励引导,流程引导,P1,用户首次到达阶段奖励格,1. 跳过新手流程 2. 完成阶段奖励结算,Miku对话框弹出，提示阶段奖励玩法
TC045,流程引导-终点引导,流程引导,P1,用户即将到达终点,1. 跳过新手流程 2. 完成阶段奖励引导,Miku对话框弹出，提示到达终点目标
TC046,流程引导-引导中断后重进,流程引导,P1,用户在引导流程中退出活动,1. 跳过新手流程 2. 重新进入活动,引导从上次中断处继续
